
Unit Economics,,,,,,,,,,,,,,,,,,,,,Manning Cost,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, Margin ,15%,,,, Hot Kitchen Employee Cost ,,,,,,,,,,Packaging Employee Cost & QC Cost,,,,,,,,,,,,,
2,Veg Garlic Peeled/Chopped,0.05,1.50,209,314,,,,1.5
3,Veg Paste Ginger Garlic,0.05,1.50,90,135,,,,1.5
4,Veg Red Onion Chopped,0.20,6.00,34,202,,,,6
5,Tomato Puree Fresh,0.20,6.00,31,186,,,,6
6,Spice Tej Patta (Bay Leaf),0.00,0.01,168,2,,,,0.01
7,Spice Cinnamon Stick (Whole),0.00,0.01,303,3,,,,0.01
8,Spice Cardamom Green,0.00,0.01,2188,22,,,,0.01
9,Spice Black Cardamom,0.00,0.01,1325,13,,,,0.01
10,Everest Dhaniya Powder,0.00,0.10,170,17,,,,0.1
11,Cumin Powder ( Jeera Powder),0.00,0.05,430,22,,,,0.05
12,Spice Chilli Powder Kashmiri Catch,0.00,0.01,740,7,,,,0.01
13,Chicken Masala Catch,0.01,0.20,500,100,,,,0.2
14,Refined Oil Mahakosh,0.05,1.50,114,171,,,,1.5
15,Water For Cooking,0.13,4.00,1,4,,,,4
16,Veg Coriander Chopped,0.01,0.20,54,11,,,,0.2
17,Spice Deggi Mirch Mdh,0.00,0.06,949,57,,,,0.06
18,Super Garam Masala Catch,0.00,0.00,326,0,,,,0.03
19,Green chillies slit,0.00,0.00,,,,,,0.01
20,Veg Garlic Peeled/Chopped,0.03,0.00,209,,Photo,,,1
21,,,,#N/A,,,,,
22,,,,#N/A,,,,,
23,,,,#N/A,,,,,
24,,,,#N/A,,,,,
25,,,,#N/A,,,,,
Total Qty,,1.10,31.96,#N/A,4213,,,,
16%,Yield Qty,0.92,27.72,Per Kg,152,,,,








































































































































































































































































































































































































































































































































































































































































































































































































































































































































































Sooji ka Halwa,,,,,,,,,
Video Link,,Per,Scale,Dish Specification:,,,,,
,,1,33,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,
1,Semolina ( Sooji ),0.20,6.73,59,397,"1 1.In a deep, heavy based sauce pan, melt the ghee add the sooji and stir fry over medium/low heat
2, depending on how often you stir it.2.At the same time in another pan dissolve the sugar in the water over low heat and keep on simmer, till required.
3  It is convenient to do this in a pan with a long handle because when you pour the sugar solution into the soojee mixture a lot of steam is created, which burns your hand.4.When the sooji is light brown and gets a glossy look and does not stick together much add the sugar solution and the cardamom and bring to a boil,
4  then simmer till the liquid is absorbed. At this stage you can stir off and on, not continuous.5.Serve hot, garnished with the almonds",,,
2,Desi Ghee,0.03,0.99,422,418,,,,
3,Refined Oil Mahakosh,0.10,3.30,114,376,,,,
4,Sugar,0.20,6.73,44,296,,,,
5,Mix Nuts Chopped,0.02,0.67,443,298,,,,
6,Water For Cooking,0.60,19.80,1,20,,,,
7,,,0.00,#N/A,,,,,
8,,,0.00,#N/A,,,,,
9,,,0,#N/A,,,,,
10,,,0,#N/A,,,,,
11,,,0,#N/A,,,,,
12,,,0,#N/A,,,,,
13,,,0,#N/A,,,,,
14,,,0,#N/A,,,,,
15,,,0,#N/A,,,,,
16,,,0,#N/A,,,,,
17,,,0,#N/A,,,,,
18,,,0,#N/A,,,,,
19,,,0,#N/A,,,,,
20,,,0,#N/A,,Photo,,,
21,,,0,#N/A,,,,,
22,,,0,#N/A,,,,,
23,,,0,#N/A,,,,,
24,,,0,#N/A,,,,,
25,,,0,#N/A,,,,,
Total Qty,,1.16,38.2,#N/A,1806,,,,
5%,Yield Qty,1.1,36.3,Per Kg,50,,,,


Sevaiyan Kheer,,,,,,,,,
Video Link,,Per,Scale,Dish Specification: Portions,,,,,
,,1,10,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,
1,Vermicelli Barik Bambino,0.10,1.00,68,68,"1 Reduce the flame to its lowest and slowly pour milk in the pan. Mix very well.
Simmer milk on a low to medium-low heat. Stir ocassionally so that the milk or seviyan does not stick to the bottom of the pan.
Let the milk come to a boil on a low to medium-low heat. Once the milk comes to a boil, then add 7 to 8 tablespoons sugar or as per taste. 
Mix very well so that all the sugar dissolves.
Next
2  add saffron strands. Mix and stir.
3 Next add 1 sliced almonds and  chopped cashews. Mix well.
4 Then add cardamom powder.
5 Cook the vermicelli kheer mixture for 4 to 5 minutes more till the seviyan gets cooked and the milk thickens. When the seviyan has softened and cooked well, the kheer will also thicken and look creamy.
",,,
2,Milk Amul Taaza Toned ( Fresh ) ,0.90,9.00,54,486,,,,
3,Sugar,0.20,2.00,44,88,,,,
4,Mix Nuts Chopped,0.00,0.02,443,9,,,,
5,Rose Water Gulabari Dabur,0.00,0.03,232,7,,,,
6,Cardamom Powder Eastmade,0.00,0.01,1869,9,,,,
7,,,0.00,#N/A,,,,,
8,,,0.00,#N/A,,,,,
9,,,0,#N/A,,,,,
10,,,0,#N/A,,,,,
11,,,0,#N/A,,,,,
12,,,0,#N/A,,,,,
13,,,0,#N/A,,,,,
14,,,0,#N/A,,,,,
15,,,0,#N/A,,,,,
16,,,0,#N/A,,,,,
17,,,0,#N/A,,,,,
18,,,0,#N/A,,,,,
19,,,0,#N/A,,,,,
20,,,0,#N/A,,Photo,,,
21,,,0,#N/A,,,,,
22,,,0,#N/A,,,,,
23,,,0,#N/A,,,,,
24,,,0,#N/A,,,,,
25,,,0,#N/A,,,,,
Total Qty,,1.21,12.1,#N/A,667,,,,
10%,Yield Qty,1.1,10.8,Per Kg,67,,,,


Fruit Custard,,,,,,,,,
Video Link,,Per,Scale,Dish Specification:,,,,,
,,1,20,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,
1,Milk Amul Taaza Toned ( Fresh ) ,0.70,14.00,54,756,"1. In a pot, heat milk and reduce it by 10%. Add sugar. 
2. Make a slurry of custard powder and water and add it to the hot milk.
3. Whisk the custard well and aloow it to cool.
4. Chop all fruits into dices and then add to the custard base. Serve cold. ",,,
2,Custard Powder Weikfield,0.06,1.20,115,138,,,,
3,Sugar,0.20,4.00,44,176,,,,
4,Pomegranate,0.07,1.48,144,213,,,,
5,Apple Shimla,0.11,2.22,138,306,,,,
6,Banana,0.11,2.22,90,200,,,,
7,,,0,#N/A,,,,,
8,,,0,#N/A,,,,,
9,,,0,#N/A,,,,,
10,,,0,#N/A,,,,,
11,,,0,#N/A,,,,,
12,,,0,#N/A,,,,,
13,,,0,#N/A,,,,,
14,,,0,#N/A,,,,,
15,,,0,#N/A,,,,,
16,,,0,#N/A,,,,,
17,,,0,#N/A,,,,,
18,,,0,#N/A,,,,,
19,,,0,#N/A,,,,,
20,,,0,#N/A,,Photo,,,
21,,,0,#N/A,,,,,
22,,,0,#N/A,,,,,
23,,,0,#N/A,,,,,
24,,,0,#N/A,,,,,
25,,,0,#N/A,,,,,
Total Qty,,1.26,25.1,#N/A,1789,,,,
18%,Yield Qty,1.0,20.6,Per Kg,89,,,,


Gud ki Kheer,,,,,,,,,
Video Link,,Per,Scale,Dish Specification:,,,,,
,,1,1,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,1
1,Milk Amul Taaza Toned ( Fresh ) ,1,1.00,54,54,"1. Heat milk in a pot and reduce it by 10-15%. Add jaggery & sugar. 
2. Soak and puree rice into a coarse paste.
3. Add rice paste to milk mixture and cook until it forms a smooth textured dessert.
4. Add mixed nuts and cool it down. Serve cold. ",,,1
2,Jaggery (Gud),0.25,0.25,71,18,,,,0.25
3,Sugar,0.15,0.15,44,7,,,,0.15
4,Rice Maleena,0.2,0.20,74,15,,,,0.2
5,Cardamom Powder Eastmade,0.02,0.02,1869,37,,,,0.02
6,Mix Nuts Chopped,0.03,0.03,443,13,,,,0.03
7,,,,#N/A,,,,,
8,,,,#N/A,,,,,
9,,,,#N/A,,,,,
10,,,,#N/A,,,,,
11,,,,#N/A,,,,,
12,,,,#N/A,,,,,
13,,,,#N/A,,,,,
14,,,,#N/A,,,,,
15,,,,#N/A,,,,,
16,,,,#N/A,,,,,
17,,,,#N/A,,,,,
18,,,,#N/A,,,,,
19,,,,#N/A,,,,,
20,,,,#N/A,,Photo,,,
21,,,,#N/A,,,,,
22,,,,#N/A,,,,,
23,,,,#N/A,,,,,
24,,,,#N/A,,,,,
25,,,,#N/A,,,,,
Total Qty,,1.65,1.7,#N/A,144,,,,
15%,Yield Qty,1.4,1.4,Per Kg,144,,,,


Gajar Ka Halwa,,,,,,,,,
Video Link,,Per,Scale,Dish Specification:,,,,,
,,1,22,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,
1,Veg Carrot Cut,1.00,22.0,28,605,"1. Shred the carrot and add to a deep kadhai.
2. Cook on slow flame and then add desi ghee and sugar.
3. Cook on slow flame. Add grated khoya, cardamom powder and nuts.",,,
2,Desi Ghee,0.03,0.6,422,258,,,,
3,Sugar,0.15,3.3,44,145,,,,
4,Mix Nuts Chopped,0.14,3.1,443,1354,,,,
5,Cardamom Powder Eastmade,0.00,0.0,1869,57,,,,
6,Khoya,0.03,0.6,348,213,,,,
7,,,0,#N/A,,,,,
8,,,0,#N/A,,,,,
9,,,0,#N/A,,,,,
10,,,0,#N/A,,,,,
11,,,0,#N/A,,,,,
12,,,0,#N/A,,,,,
13,,,0,#N/A,,,,,
14,,,0,#N/A,,,,,
15,,,0,#N/A,,,,,
16,,,0,#N/A,,,,,
17,,,0,#N/A,,,,,
18,,,0,#N/A,,,,,
19,,,0,#N/A,,,,,
20,,,0,#N/A,,Photo,,,
21,,,0,#N/A,,,,,
22,,,0,#N/A,,,,,
23,,,0,#N/A,,,,,
24,,,0,#N/A,,,,,
25,,,0,#N/A,,,,,
Total Qty,,1.35,29.6,#N/A,2631,,,,
25%,Yield Qty,1.0,22.2,Per Kg,119,,,,


Nimbu Paani,,,,,,,,,
Video Link,,Per,Scale,Dish Specification:,,,,,
,,1,10,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,
1,Sugar,0.2,2,44,88,,,,
2,Veg Lemon Juice,0.04,0.4,109,44,,,,
3,Salt Black,0.005,0.05,85,4,,,,
4,Veg Mint Chopped,0.01,0.1,120,12,,,,
5,Water For Cooking,0.9,9,1,9,,,,
6,,,0,#N/A,,,,,
7,,,0,#N/A,,,,,
8,,,0,#N/A,,,,,
9,,,0,#N/A,,,,,
10,,,0,#N/A,,,,,
11,,,0,#N/A,,,,,
12,,,0,#N/A,,,,,
13,,,0,#N/A,,,,,
14,,,0,#N/A,,,,,
15,,,0,#N/A,,,,,
16,,,0,#N/A,,,,,
17,,,0,#N/A,,,,,
18,,,0,#N/A,,,,,
19,,,0,#N/A,,,,,
20,,,0,#N/A,,Photo,,,
21,,,0,#N/A,,,,,
22,,,0,#N/A,,,,,
23,,,0,#N/A,,,,,
24,,,0,#N/A,,,,,
25,,,0,#N/A,,,,,
Total Qty,,1.16,11.6,#N/A,157,,,,
0%,Yield Qty,1.2,11.6,Per Kg,14,,,,


Aate ka Halwa,,,,,,,,,
Video Link,,Per,Scale,Dish Specification:,,,,,
,,1,18,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,
1,Refined Oil Mahakosh,0.25,4.5,114,513,"1. Heat oil in a kadhai.
2.Add wheat flour and cook till golden and aromatic.
3. Add 1 cup water and mix well.
4. Add sugar and cook through.
5. Cook till everything comes together and Prasad starts leaving ghee.",,,
2,Atta Wheat,0.30,5.4,42,227,,,,
3,Sugar,0.30,5.4,44,238,,,,
4,Water For Cooking,0.30,5.4,1,5,,,,
5,Mix Nuts Chopped,0.01,0.1,443,55,,,,
6,,,0,#N/A,,,,,
7,,,0,#N/A,,,,,
8,,,0,#N/A,,,,,
9,,,0,#N/A,,,,,
10,,,0,#N/A,,,,,
11,,,0,#N/A,,,,,
12,,,0,#N/A,,,,,
13,,,0,#N/A,,,,,
14,,,0,#N/A,,,,,
15,,,0,#N/A,,,,,
16,,,0,#N/A,,,,,
17,,,0,#N/A,,,,,
18,,,0,#N/A,,,,,
19,,,0,#N/A,,,,,
20,,,0,#N/A,,Photo,,,
21,,,0,#N/A,,,,,
22,,,0,#N/A,,,,,
23,,,0,#N/A,,,,,
24,,,0,#N/A,,,,,
25,,,0,#N/A,,,,,
Total Qty,,1.16,20.8,#N/A,1038,,,,
5%,Yield Qty,1.1,19.8,Per Kg,52,,,,


Moong Dal Halwa,,,,,,,,,
Video Link,,Per,Scale,Dish Specification:,,,,,
,,1,10,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,
1,Dal Moong Yellow,0.200,2.0,125,250,"1. Wash the yellow moong dal well to remove the dirt, further pat dry and allow to dry for a while. Dry roast the washed moong dal on medium heat until its completely dry.
2. Once roasted well, transfer over a plate and cool down completely, further transfer it in a grinding jar and grind to make coarse powder.
3. For the sugar syrup, add water, sugar, green cardamom powder. mix well and bring to a boil.
4. Set a little big size wok, Heat the oil & ghee, further add the rava & besan, keep stirring and cook it on low flame until the colour changes to biscuity in colour.
5. As the colour reaches to biscuit colour add the grounded dal powder and stir continuously on low flame until the colour changes to biscuity, during the entire process if you feel the flame is little higher and is getting darker quickly you can switch off the flame and keep stirring.
6. As the colour reaches to the biscuity colour stage add the prepared sugar syrup in batches, make sure to add the syrup in batches and be careful while adding it.
7. As the oil will start to release, increase the flame a little higher and stir & cook for 5-7 minutes, the texture of halwa will become crumbly and the colour will also darken. Add raisins & nuts.",,,
2,Sugar Syrup,0.650,6.5,35,228,,,,
3,Refined Oil Mahakosh,0.200,2.0,114,228,,,,
4,Cardamom Powder Eastmade,0.002,0.0,1869,37,,,,
5,Semolina ( Sooji ),0.020,0.2,59,12,,,,
6,Besan,0.020,0.2,107,21,,,,
7,Mix Nuts Chopped,0.012,0.1,443,51,,,,
8,Dryfruit - Kismis (Raisin),0.008,0.1,329,25,,,,
9,Desi Ghee,0.06,0.6,422,253,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,Photo,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
Total Qty,,1.17,11.7,#N/A,1106,,,,
10%,Yield Qty,1.1,10.5,Per Kg,105,,,,


Phirni,,,,,,,,,
Video Link,,Per,Scale,Dish Specification:,,,,,
,,1,20,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,
1,Milk Amul Taaza Toned ( Fresh ) ,0.8,16.0,54,864,"1. Soak rice in water and make a coarse paste.
2. Heat milk in a pot, cook it to reduce 10-15%. Add sugar and rice paste. along with turmeric pwdr. Whisk until it forms a paste consistency. 
3. Add cardamom powder, keora water and mixed nuts. Cool down and serve cold.",,,
2,Rice Maleena,0.1,2.5,74,185,,,,
3,Sugar,0.2,3.8,44,165,,,,
4,Keora Jal,0.0,0.1,41,2,,,,
5,Cardamom Powder Eastmade,0.0,0.0,1869,19,,,,
6,Everest Haldi Powder,0.0,0.0,188,5,,,,
7,Mix Nuts Chopped,0.0,0.2,443,66,,,,
8,Water For Cooking,0.04,0.80,1,1,,,,
9,,,0,#N/A,,,,,
10,,,0,#N/A,,,,,
11,,,0,#N/A,,,,,
12,,,0,#N/A,,,,,
13,,,0,#N/A,,,,,
14,,,0,#N/A,,,,,
15,,,0,#N/A,,,,,
16,,,0,#N/A,,,,,
17,,,0,#N/A,,,,,
18,,,0,#N/A,,,,,
19,,,0,#N/A,,,,,
20,,,0,#N/A,,Photo,,,
21,,,0,#N/A,,,,,
22,,,0,#N/A,,,,,
23,,,0,#N/A,,,,,
24,,,0,#N/A,,,,,
25,,,0,#N/A,,,,,
Total Qty,,1.16,23.3,#N/A,1307,,,,
10%,Yield Qty,1.0,21.0,Per Kg,65,,,,


Kheer,,,,,,,,,
Video Link,,Per,Scale,Dish Specification:,,,,,
,,1,1,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,1
1,Milk Amul Taaza Toned ( Fresh ) ,1,1,54,54,"1 Take milk in pan. Boil till it reduces a little.
Then add saffron strands, sugar and let it boil for a good 10 mins in sim.
Now add condensed milk and nuts powder. Keep cooking in low flame.
Scrap the sides and keep mixing to avoid burning at the bottom.
Chop figs into small pieces.
2 Heat ghee in a tadka pan, add raisins and chopped figs fry for a minute.
Then add it to the milk nuts mixture. Keep cooking.
At one stage it will thicken and coat the ladle. That's the right stage. Switch off.
Garnish with chopped nuts and serve chilled.
Serve Dry Fruits Kheer chilled...",,,1
2,Sugar,0.25,0.25,44,11,,,,0.25
3,Mix Nuts Chopped,0.05,0.05,443,22,,,,0.05
4,Rice Maleena,0.2,0.2,74,15,,,,0.2
5,Cardamom Powder Eastmade,0.02,0.02,1869,37,,,,0.02
6,,,,#N/A,#N/A,,,,
7,,,,#N/A,,,,,
8,,,,#N/A,,,,,
9,,,,#N/A,,,,,
10,,,,#N/A,,,,,
11,,,,#N/A,,,,,
12,,,,#N/A,,,,,
13,,,,#N/A,,,,,
14,,,,#N/A,,,,,
15,,,,#N/A,,,,,
16,,,,#N/A,,,,,
17,,,,#N/A,,,,,
18,,,,#N/A,,,,,
19,,,,#N/A,,,,,
20,,,,#N/A,,Photo,,,
21,,,,#N/A,,,,,
22,,,,#N/A,,,,,
23,,,,#N/A,,,,,
24,,,,#N/A,,,,,
25,,,,#N/A,,,,,
Total Qty,,1.52,1.5,#N/A,#N/A,,,,
0%,Yield Qty,1.5,1.5,Per Kg,#N/A,,,,


lauki ka halwa,,,,,,,,,
Video Link,,Per,Scale,Dish Specification:,,,,,
,,1,15,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,1
1,Veg Lauki Cleaned,5.00,75,41,3060,"1 1.Heat ghee and roast cashew, almond and  raisins..Fry nuts to golden brown and keep aside.
2 .Now add in grated lauki and sauté 
3 .Sauté till the lauki shrinks slightly and changes colour.
4 .Add a cup milk and mix well.
5 .Cook till milk thickens and lauki gets cooked completely
6.Further add in ¾ cup sugar and mix well
7 Sugar melts and boil till it thickens
8 .Add in khoya into lauki mixture and mix well.
9 .Keep stirring till the mixture thickens and forms a mass.
10 .Add in roasted nut cardamom powder. Mix well.
11 lauki halwa to a bowl and serve hot.


",,,5
2,Sugar,1.00,15,44,660,,,,1
3,Fresh Milk Amul Gold Full Cream,0.22,3.225,65,210,,,,0.215
4,Khoya,1.00,15,348,5220,,,,1
5,Desi Ghee,0.25,3.75,422,1583,,,,0.25
6,Spice Cardamom Green,0.02,1.5,2188,3282,,,,0.02
7,Mix Nuts Chopped,0.10,7.5,443,,,,,0.1
8,,,,#N/A,,,,,
9,,,,#N/A,,,,,
10,,,,#N/A,,,,,
11,,,,#N/A,,,,,
12,,,,#N/A,,,,,
13,,,,#N/A,,,,,
14,,,,#N/A,,,,,
15,,,,#N/A,,,,,
16,,,,#N/A,,,,,
17,,,,#N/A,,,,,
18,,,,#N/A,,,,,
19,,,,#N/A,,,,,
20,,,,#N/A,,Photo,,,
21,,,,#N/A,,,,,
22,,,,#N/A,,,,,
23,,,,#N/A,,,,,
24,,,,#N/A,,,,,
25,,,,#N/A,,,,,
Total Qty,,7.59,121.0,#N/A,14014,,,,
85%,Yield Qty,1.1,17.1,Per Kg,821,,,,


Gulab jamun,,,,,,,,,
Video Link,,Per,Scale,Dish Specification:,,,,,
,,1,10,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,1
1,Khoya,1,10,348,3480,,,,1
2,Malai Paneer,0.2,2,230,460,,,,0.2
3,Spice Cardamom Green,0.02,0.2,2188,438,,,,0.02
4,Sugar,3,30,44,1320,,,,3
5,Refined Oil Mahakosh,1,10,114,1140,,,,1
6,,,,#N/A,#N/A,,,,
7,,,,#N/A,#N/A,,,,
8,,,,#N/A,#N/A,,,,
9,,,,#N/A,#N/A,,,,
10,,,,#N/A,#N/A,,,,
11,,,,#N/A,#N/A,,,,
12,,,,#N/A,#N/A,,,,
13,,,,#N/A,#N/A,,,,
14,,,,#N/A,#N/A,,,,
15,,,,#N/A,#N/A,,,,
16,,,,#N/A,#N/A,,,,
17,,,,#N/A,#N/A,,,,
18,,,,#N/A,#N/A,,,,
19,,,,#N/A,#N/A,,,,
20,,,,#N/A,#N/A,Photo,,,
21,,,,#N/A,#N/A,,,,
22,,,,#N/A,#N/A,,,,
23,,,,#N/A,#N/A,,,,
24,,,,#N/A,#N/A,,,,
25,,,,#N/A,#N/A,,,,
Total Qty,,5.22,52.2,#N/A,#N/A,,,,
10%,Yield Qty,4.7,47.0,Per Kg,#N/A,,,,


Dish Name,,,,,,,,,
Video Link,,Per,Scale,Dish Specification:,,,,,
,,1,10,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,
1,,,0,#N/A,#N/A,,,,
2,,,0,#N/A,#N/A,,,,
3,,,0,#N/A,#N/A,,,,
4,,,0,#N/A,#N/A,,,,
5,,,0,#N/A,#N/A,,,,
6,,,0,#N/A,#N/A,,,,
7,,,0,#N/A,#N/A,,,,
8,,,0,#N/A,#N/A,,,,
9,,,0,#N/A,#N/A,,,,
10,,,0,#N/A,#N/A,,,,
11,,,0,#N/A,#N/A,,,,
12,,,0,#N/A,#N/A,,,,
13,,,0,#N/A,#N/A,,,,
14,,,0,#N/A,#N/A,,,,
15,,,0,#N/A,#N/A,,,,
16,,,0,#N/A,#N/A,,,,
17,,,0,#N/A,#N/A,,,,
18,,,0,#N/A,#N/A,,,,
19,,,0,#N/A,#N/A,,,,
20,,,0,#N/A,#N/A,Photo,,,
21,,,0,#N/A,#N/A,,,,
22,,,0,#N/A,#N/A,,,,
23,,,0,#N/A,#N/A,,,,
24,,,0,#N/A,#N/A,,,,
25,,,0,#N/A,#N/A,,,,
Total Qty,,0.00,0.0,#N/A,#N/A,,,,
0%,Yield Qty,0.0,0.0,Per Kg,#N/A,,,,


Dish Name,,,,,,,,,
Video Link,,Per,Scale,Dish Specification:,,,,,
,,1,10,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,
1,,,0,#N/A,#N/A,,,,
2,,,0,#N/A,#N/A,,,,
3,,,0,#N/A,#N/A,,,,
4,,,0,#N/A,#N/A,,,,
5,,,0,#N/A,#N/A,,,,
6,,,0,#N/A,#N/A,,,,
7,,,0,#N/A,#N/A,,,,
8,,,0,#N/A,#N/A,,,,
9,,,0,#N/A,#N/A,,,,
10,,,0,#N/A,#N/A,,,,
11,,,0,#N/A,#N/A,,,,
12,,,0,#N/A,#N/A,,,,
13,,,0,#N/A,#N/A,,,,
14,,,0,#N/A,#N/A,,,,
15,,,0,#N/A,#N/A,,,,
16,,,0,#N/A,#N/A,,,,
17,,,0,#N/A,#N/A,,,,
18,,,0,#N/A,#N/A,,,,
19,,,0,#N/A,#N/A,,,,
20,,,0,#N/A,#N/A,Photo,,,
21,,,0,#N/A,#N/A,,,,
22,,,0,#N/A,#N/A,,,,
23,,,0,#N/A,#N/A,,,,
24,,,0,#N/A,#N/A,,,,
25,,,0,#N/A,#N/A,,,,
Total Qty,,0.00,0.0,#N/A,#N/A,,,,
0%,Yield Qty,0.0,0.0,Per Kg,#N/A,,,,


Dish Name,,,,,,,,,
Video Link,,Per,Scale,Dish Specification:,,,,,
,,1,10,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,
1,,,0,#N/A,#N/A,,,,
2,,,0,#N/A,#N/A,,,,
3,,,0,#N/A,#N/A,,,,
4,,,0,#N/A,#N/A,,,,
5,,,0,#N/A,#N/A,,,,
6,,,0,#N/A,#N/A,,,,
7,,,0,#N/A,#N/A,,,,
8,,,0,#N/A,#N/A,,,,
9,,,0,#N/A,#N/A,,,,
10,,,0,#N/A,#N/A,,,,
11,,,0,#N/A,#N/A,,,,
12,,,0,#N/A,#N/A,,,,
13,,,0,#N/A,#N/A,,,,
14,,,0,#N/A,#N/A,,,,
15,,,0,#N/A,#N/A,,,,
16,,,0,#N/A,#N/A,,,,
17,,,0,#N/A,#N/A,,,,
18,,,0,#N/A,#N/A,,,,
19,,,0,#N/A,#N/A,,,,
20,,,0,#N/A,#N/A,Photo,,,
21,,,0,#N/A,#N/A,,,,
22,,,0,#N/A,#N/A,,,,
23,,,0,#N/A,#N/A,,,,
24,,,0,#N/A,#N/A,,,,
25,,,0,#N/A,#N/A,,,,
Total Qty,,0.00,0.0,#N/A,#N/A,,,,
0%,Yield Qty,0.0,0.0,Per Kg,#N/A,,,,


Dish Name,,,,,,,,,
Video Link,,Per,Scale,Dish Specification:,,,,,
,,1,10,,,,,,
SNo.,Ingredients,Qty,Scale Qty,Cost,Total,Method,,,
1,,,0,#N/A,#N/A,,,,
2,,,0,#N/A,#N/A,,,,
3,,,0,#N/A,#N/A,,,,
4,,,0,#N/A,#N/A,,,,
5,,,0,#N/A,#N/A,,,,
6,,,0,#N/A,#N/A,,,,
7,,,0,#N/A,#N/A,,,,
8,,,0,#N/A,#N/A,,,,
9,,,0,#N/A,#N/A,,,,
10,,,0,#N/A,#N/A,,,,
11,,,0,#N/A,#N/A,,,,
12,,,0,#N/A,#N/A,,,,
13,,,0,#N/A,#N/A,,,,
14,,,0,#N/A,#N/A,,,,
15,,,0,#N/A,#N/A,,,,
16,,,0,#N/A,#N/A,,,,
17,,,0,#N/A,#N/A,,,,
18,,,0,#N/A,#N/A,,,,
19,,,0,#N/A,#N/A,,,,
20,,,0,#N/A,#N/A,Photo,,,
21,,,0,#N/A,#N/A,,,,
22,,,0,#N/A,#N/A,,,,
23,,,0,#N/A,#N/A,,,,
24,,,0,#N/A,#N/A,,,,
25,,,0,#N/A,#N/A,,,,
Total Qty,,0.00,0.0,#N/A,#N/A,,,,
0%,Yield Qty,0.0,0.0,Per Kg,#N/A,,,,




